sku_code,mu_monthly,sigma_monthly,mu_daily,sigma_daily,Z,lt_avg,sqrt_lt,ss,rop,product_name,category,abc_quantity,abc_frequency
4200009163,7738.142857142857,7579.496078864597,257.93809523809523,1383.8203256386985,1.645,1.9446944131983501,1.3945230056181757,3174.4704651808547,3676.0812379414024,Quạt lửng ASIAVINA - VY628890 - Đen,Fan,A,A
4200008102,1811.0,2780.6104845279333,60.36666666666667,507.66769533710624,1.645,1.9446944131983501,1.3945230056181757,1164.5847911868598,1281.9795105969336,Quạt lửng ASIAvina - VY538790 - Xám,Fan,A,A
4200009000,1932.857142857143,2352.359059084549,64.42857142857143,429.48004000407843,1.645,1.9446944131983501,1.3945230056181757,985.2230648139804,1110.516947721474,Quạt đứng ASIAVINA Turbo X - VY629890 - Đen,Fan,A,A
4100000722,994.2857142857143,1521.7600242576264,33.142857142857146,277.83409746517026,1.645,1.9446944131983501,1.3945230056181757,637.3487368862633,701.8014660094086,Quạt đứng Tefal - VF2820F0 - đen,Fan,A,C
4200000163,1531.0,1318.1796792041162,51.03333333333333,240.66558171500597,1.645,1.9446944131983501,1.3945230056181757,552.0845206455834,651.3287588658059,Quạt trần đảo ASIAvina - X16001-XV0 - Xám,Fan,A,A
4200008999,1334.095238095238,1123.64311116557,44.46984126984127,205.14822619022254,1.645,1.9446944131983501,1.3945230056181757,470.6080500187236,557.0883018920014,Quạt đứng ASIAVINA Turbo X - VY629790 - Xám,Fan,A,A
4100000838,393.14285714285717,1039.2765798976754,13.104761904761906,189.74507543225897,1.645,1.9446944131983501,1.3945230056181757,435.27337090905286,460.7581281715379,,,A,C
1830009179,361.2857142857143,954.1089585377053,12.042857142857143,174.19566630295415,1.645,1.9446944131983501,1.3945230056181757,399.60317650776074,423.02285351242085,Bàn ủi khô tích hợp bình xịt nước Tefal FS3120L0,SDA,A,B
4200009382,750.4285714285714,913.551103686936,25.014285714285716,166.7908489743586,1.645,1.9446944131983501,1.3945230056181757,382.6165970550874,431.26173873380617,Quạt sàn ASIAVINA TURBO MAX - VY646990 - Xám,Fan,A,A
4200007859,747.8571428571429,766.771897540033,24.92857142857143,139.99275491457203,1.645,1.9446944131983501,1.3945230056181757,321.1420280378509,369.62048162400976,Quạt đứng ASIAvina - VY639990 - Xám,Fan,A,A
4200008101,978.7142857142857,751.6809416868556,32.62380952380952,137.2375359362054,1.645,1.9446944131983501,1.3945230056181757,314.8215823052058,378.2649224234053,Quạt lửng ASIAvina - VY538990 - Đen,Fan,A,A
4200008113,625.4285714285714,673.4606786697244,20.847619047619048,122.95653510004878,1.645,1.9446944131983501,1.3945230056181757,282.06110428095207,322.6033525713443,Quạt đứng ASIAvina - VY539790 - Xám,Fan,A,A
4200008737,640.5714285714286,669.5677354689012,21.35238095238095,122.24578416465637,1.645,1.9446944131983501,1.3945230056181757,280.43064849800095,321.9545044445791,Quạt treo ASIAVINA VY357792 - 55W Xám,Fan,A,B
4200007858,1067.0,646.7977530367073,35.56666666666667,118.08857316062004,1.645,1.9446944131983501,1.3945230056181757,270.8940465957654,340.06034455852006,Quạt sàn ASIAvina - VY636790 - Xám,Fan,A,A
4200009226,384.14285714285717,626.8546957021297,12.804761904761905,114.44748570469771,1.645,1.9446944131983501,1.3945230056181757,262.5414271293393,287.4427760678648,Quạt lửng ASIAvina - VY358291 - Chuối non,Fan,A,B
4200009001,762.8571428571429,616.7547942176666,25.42857142857143,112.6035044141576,1.645,1.9446944131983501,1.3945230056181757,258.31135185387757,307.7621526466356,Quạt treo ASIAVINA Turbo X - VY627790 - Xám,Fan,A,A
4200000164,668.4285714285714,524.3131561522042,22.28095238095238,95.72604760709693,1.645,1.9446944131983501,1.3945230056181757,219.5946289031207,262.92427251909726,Quạt trần đảo ASIAvina - X16002-XV0 - Xám,Fan,A,B
4100000738,445.7142857142857,467.8624136380674,14.857142857142858,85.41959925279406,1.645,1.9446944131983501,1.3945230056181757,195.95173589492208,224.84433860529757,Quạt đứng - TEFAL - VF4420F2 - đen,Fan,A,C
4200008122,562.2857142857143,424.54395700394963,18.742857142857144,77.51076730118885,1.645,1.9446944131983501,1.3945230056181757,177.80895176370794,214.25808133679703,Quạt treo ASIAvina - VY377790 - Xám,Fan,A,B
4200008736,363.14285714285717,420.44398301931125,12.104761904761906,76.76221788899859,1.645,1.9446944131983501,1.3945230056181757,176.09178663995553,199.63184948924223,Quạt treo ASIAVINA VY357192 - 55W Xanh Thiên Thanh,Fan,A,B
4200009023,419.85714285714283,407.0075464375849,13.995238095238095,74.30907141956556,1.645,1.9446944131983501,1.3945230056181757,170.46429232606505,197.6807536612553,Quạt treo ASIAVINA - VY377092 - 55W Xám,Fan,A,A
4200009002,427.7142857142857,389.2581466866233,14.257142857142858,71.06848921097281,1.645,1.9446944131983501,1.3945230056181757,163.0304280298312,190.75621409228768,QUẠT treo ASIAVINA TURBO VY627890,Fan,A,A
4200008229,801.1428571428571,387.70496883215577,26.704761904761902,70.78491902873635,1.645,1.9446944131983501,1.3945230056181757,162.37992076986586,214.31252205184848,Quạt treo ASIAvina - VY377990 - Xám,Fan,A,A
4200008372,529.2857142857143,381.7528494919692,17.642857142857146,69.6982156862087,1.645,1.9446944131983501,1.3945230056181757,159.88703379505202,194.19699951362293,QUẠT SÀN TURBO VY616990,Fan,A,A
4200008366,405.42857142857144,349.70552237697416,13.514285714285714,63.84720102999879,1.645,1.9446944131983501,1.3945230056181757,146.46486266968867,172.74601859662639,QUẠT SÀN TURB0 VY616790,Fan,A,A
4200008371,479.2857142857143,340.81016919770957,15.976190476190476,62.22313916557929,1.645,1.9446944131983501,1.3945230056181757,142.73928043425883,173.80808879749912,QUẠT ĐỨNG VY619990,Fan,A,A
4200008117,576.1428571428571,318.8366502204687,19.204761904761902,58.2113418283784,1.645,1.9446944131983501,1.3945230056181757,133.5362560796646,170.8836492626596,Quạt treo ASIAvina - VY357690 - trắng,Fan,A,A
4200009625,369.42857142857144,306.64140682718045,12.314285714285715,55.98480519478846,1.645,1.9446944131983501,1.3945230056181757,128.42860254110843,152.3761251722081,Quạt treo ASIAVINA - VY617090 - Đen,Fan,A,A
